ID,Texte,Date
1946274749048410311,Mais quand vous dites que la livraison se fera le 18 a la poste .... a 20h20 je suis sensé la récupérer comment exactement @lisalaposte et @leroymerlinfr ?!,2025-07-18 18:23:54+00:00
1944686966873673960,@leroymerlinfr Oui ça je le sais bien mais 14 jours pr préparer un colis en plus juste une boîte fermée ! Ça va être plus simple d’aller en magasin acheter le produit en libre service et partir avec !,2025-07-14 09:14:38+00:00
1944684564510576747,Hello @leroymerlinfr comment c’est possible un retrait le 28/07 et une livraison le 17/07 ? https://t.co/BGhkUXcIcd,2025-07-14 09:05:05+00:00
1944479040632422857,"@GilbertCollard Qu'est ce que j'avais dit avant hier, casto et Leroy Merlin font leur bénéfice quelques jours avant les matchs de foot.

Les boutiques passent commande et se barricadent.",2025-07-13 19:28:24+00:00
